year,state,property_damage
2021,Virginia,30.00K
2021,Florida,10.00K
2021,Florida,20.00K
2021,Florida,10.00K
2021,Georgia,1.00K
2021,Missouri,15.00K
2021,Illinois,5.00K
2021,Georgia,25.00K
2021,Georgia,50.00K
2021,Georgia,50.00K
2021,Georgia,50.00K
2021,Georgia,1.00K
2021,Michigan,75.00K
2021,Illinois,70.00K
2021,Illinois,15.00K
2021,Kansas,12.00K
2021,Alabama,25.00K
2021,Texas,10.00K
2021,Texas,25.00K
2021,Texas,1.00K
2021,Texas,5.00K
2021,West Virginia,3.00K
2021,West Virginia,3.00K
2021,Maryland,15.00K
2021,American Samoa,10.00K
2021,Texas,5.00K
2021,Colorado,5.00K
2021,Kentucky,5.00K
2021,Texas,3.00K
2021,Texas,1.00K
2021,Texas,50.00K
2021,Louisiana,1.00K
2021,Louisiana,100.00K
2021,West Virginia,5.00K
2021,West Virginia,5.00K
2021,Virginia,30.00K
2021,Virginia,30.00K
2021,New York,60.00M
2021,Virginia,30.00K
2021,Texas,113.00K
2021,Texas,29.00K
2021,Mississippi,10.00K
2021,Texas,120.00K
2021,Florida,0.50K
2021,Texas,10.00K
2021,Louisiana,1.00K
2021,Louisiana,5.00K
2021,Louisiana,10.00K
2021,Virginia,0.50K
2021,Virginia,50.00K
2021,Virginia,40.00K
2021,Virginia,50.00K
2021,Virginia,50.00K
2021,Virginia,40.00K
2021,Virginia,40.00K
2021,Virginia,40.00K
2021,Alabama,0.20K
2021,Maryland,15.00K
2021,Virginia,30.00K
2021,Oregon,100.00K
2021,Tennessee,629.00K
2021,Florida,0.10K
2021,Texas,10.00K
2021,New Mexico,70.00K
2021,Texas,75.00K
2021,Texas,1.00K
2021,Texas,50.00K
2021,Texas,200.00K
2021,Idaho,25.00K
2021,Texas,25.00K
2021,Texas,50.00K
2021,California,10.00K
2021,Missouri,40.00K
2021,Missouri,25.00K
2021,New Hampshire,75.00K
2021,Virginia,30.00K
2021,Virginia,30.00K
2021,Virginia,30.00K
2021,Maryland,15.00K
2021,Texas,60.00K
2021,Texas,103.00K
2021,Oregon,10.00M
2021,Texas,0.40K
2021,Florida,0.10K
2021,Florida,0.10K
2021,Arizona,5.00K
2021,Texas,2.00K
2021,Mississippi,5.00K
2021,Mississippi,5.00K
2021,Texas,30.00K
2021,Virginia,20.00K
2021,Missouri,10.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Florida,5.00K
2021,Texas,605.00K
2021,Texas,200.00K
2021,Virginia,30.00K
2021,Texas,0.50K
2021,Nebraska,3.50K
2021,Georgia,0.01K
2021,Texas,30.00K
2021,Arizona,15.00K
2021,Arizona,1.00K
2021,Oklahoma,5.00K
2021,North Carolina,10.00K
2021,Missouri,125.00K
2021,Missouri,5.00K
2021,Missouri,250.00K
2021,Missouri,25.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Florida,2.50K
2021,Florida,1.00K
2021,Florida,0.50K
2021,Florida,0.50K
2021,New York,3.00K
2021,Massachusetts,6.00K
2021,Massachusetts,3.00K
2021,Massachusetts,5.00K
2021,Kentucky,10.00K
2021,Texas,5.00K
2021,Texas,6.00M
2021,Virginia,30.00K
2021,Texas,208.00K
2021,Idaho,3.00K
2021,Idaho,5.00K
2021,California,3000.00K
2021,Kentucky,1.00K
2021,Montana,75.00K
2021,Montana,5.00K
2021,Massachusetts,0.50K
2021,Massachusetts,2.30K
2021,Massachusetts,1.60K
2021,Massachusetts,7.50K
2021,Massachusetts,8.50K
2021,Illinois,4.00K
2021,Kentucky,15.00K
2021,Kentucky,10.00K
2021,Texas,400.00K
2021,Texas,1.50M
2021,Virginia,40.00K
